Business Name,Business ID,Review Count,Business Rating,Price Range
Corcoran's Towpath Tavern,u8ldCEgF2izD2NT6T7_7Lw,13,4.5,$$
Tipsy Moose,lg5JudOvs5VpsWsBGSUuag,51,3.0,$$
Adirondack Lodge,cgW-Tzt_zznomWl9uFO_8g,5,2.5,$$
Delaware Supply,JkjHR7StocXN8bF6BKd1Sw,27,5.0,$$
Track 32 Italian Pub,IxZwzGFOeTh5yvo_hzqsyA,49,4.0,$$
My Place & Co,hIaLnBvUOYAwZjxmr-UjJw,45,3.0,$
Dinosaur Bar-B-Que,6Ld6AS4Qa_kVessELWw_tw,592,3.5,$$
LUKA's Salumeria & Spirits,sG-YvfSqcertY5xLUSs5bQ,1,4.0,
Forty One Sports Bar & Grill,SzVZm-W1Od4dblJUhkZ1VQ,20,4.0,$$
City Squire Ale House,IrTuE0MbQPZRG_z-2qopWA,55,3.0,$$
The Orchard Tavern & Restaurant,VuaDzB3vTfs0U1RalSXIIQ,107,3.5,$$
Massry Center for the Arts,SGum4ks1ikYtcSgNU23Btg,1,5.0,
Centre Street Pub,uHOyqyDD6ZLyoAPRENMcZA,79,3.0,$$
Chili's,Ms9MMQ8bkpS-tgUPoR4lXQ,70,2.5,$$
Tartan Lanes,VgLVv2Pb7tphtCK-dzQG0A,1,4.0,
Rookies Sports Bar & Grill,rUm2eJIr-E4X88ATgQMDrQ,11,3.5,$$
Casey's Restaurant,_j7c5fPVCm7qYtw871R5kA,55,4.0,$$
Milano Restaurant,pNNB4QSFaVD0-Gm3EMtH6w,83,3.5,$$
Ruby Tuesday,20pSaYLWrb8V8UVdJuMSvA,78,2.0,$$
Union Inn,BZ1KASE16PfT__IBzKm4WQ,2,1.0,
LT’s Mexican Grill,XhtNHZgxue1HiT8zLyjArA,2,4.0,
Hunter's On Jay,1kr4_ImZsc06blUuMZxQIw,8,5.0,$$
Renaissance Hall Restaurant,4CrtNIw2KLllnl_OTTBi9A,2,5.0,
Applebee's Grill + Bar,kFmoKpQ8MNF0TrFdG1NSsA,35,2.5,$$
JT's Tavern,T94tJxqmlgRIc40Uv0Bdow,4,3.5,
The Local @ ALB,2eeJPfLB94opfXCOzO38yw,16,2.5,$$
Bombers Burrito Bar,6Hzq9mtLjeS4V8QLMmJLuQ,171,2.5,$$
Park Pub Restaurant,7o2KJGfMVpaYnaYnvbNpXw,36,4.0,$$
The Purple Pub,7H9wF_UHLgWPpRCKu8TlJg,57,3.0,$$
Van Slyck's,bFOa3YYEhoOIRRvg1AluUQ,3,2.0,$$
wheelers,maH52y5fj9beH935KqjPBw,1,1.0,
Chili's,npu49kT7ZgflkvYAGpB9jA,30,2.5,
New World Bistro Bar,HJvzoX9SeNJA4TWFVUIohg,553,4.0,$$
